AddressId,Name,Surname,Company,Street,City,County,Postcode,Phone,Email
d8e8ff9e-e2e3-473f-8601-e2f6f4665175,Aleshia,Tomkiewicz,Alan D Rosenburg Cpa Pc,14 Taylor St,St. Stephens Ward,Kent,CT2 7PP,01835-703597,atomkiewicz@hotmail.com
66e93bb6-6068-440a-87d0-290afcc7d24b,Evan,Zigomalas,Cap Gemini America,5 Binney St,Abbey Ward,Buckinghamshire,HP11 2AX,01937-864715,evan.zigomalas@gmail.com
9501100f-1e84-4c3f-96bc-6f0e7a1088ed,France,Andrade,"Elliott, John W Esq",8 Moor Place,East Southbourne and Tuckton W,Bournemouth,BH6 3BE,01347-368222,france.andrade@hotmail.com
cc3f8d7e-d300-4fc2-8c23-d9289148854b,Ulysses,Mcwalters,"Mcmahan, Ben L",505 Exeter Rd,Hawerby cum Beesby,Lincolnshire,DN36 5RP,01912-771311,ulysses@hotmail.com
d37a2721-5272-401b-9ca8-2edcb8034fc0,Tyisha,Veness,Champagne Room,5396 Forth Street,Greets Green and Lyng Ward,West Midlands,B70 9DT,01547-429341,tyisha.veness@hotmail.com
357aab23-05e1-432b-9d19-e394eaebe7c0,Eric,Rampy,"Thompson, Michael C Esq",9472 Lind St,Desborough,Northamptonshire,NN14 2GH,01969-886290,erampy@rampy.co.uk
a15d396c-4f0a-46b3-bfb5-5a5ed1105b18,Marg,Grasmick,Wrangle Hill Auto Auct & Slvg,7457 Cowl St #70,Bargate Ward,Southampton,SO14 3TY,01865-582516,marg@hotmail.com
18e020cb-25df-4654-8791-2a0a0386e53d,Laquita,Hisaw,In Communications Inc,20 Gloucester Pl #96,Chirton Ward,Tyne & Wear,NE29 7AD,01746-394243,laquita@yahoo.com
843ede7d-83e5-45e7-8167-ea4943b1601b,Lura,Manzella,Bizerba Usa Inc,929 Augustine St,Staple Hill Ward,South Gloucestershire,BS16 4LL,01907-538509,lura@hotmail.com
c5e509fc-fbad-45f8-8b31-d8845266fc7a,Yuette,Klapec,Max Video,45 Bradfield St #166,Parwich,Derbyshire,DE6 1QN,01903-649460,yuette.klapec@klapec.co.uk
f20c1e73-659f-441a-97ea-05555126959c,Fernanda,Writer,K & R Associates Inc,620 Northampton St,Wilmington,Kent,DA2 7PP,01630-202053,fernanda@writer.co.uk
235ef177-25ca-4985-91d6-637e6e311c82,Charlesetta,Erm,"Cain, John M Esq",5 Hygeia St,Loundsley Green Ward,Derbyshire,S40 4LY,01276-816806,charlesetta_erm@gmail.com
a311c5a3-15c7-4eaf-8da8-3c49ba7edd6a,Corrinne,Jaret,Sound Vision Corp,2150 Morley St,Dee Ward,Dumfries and Galloway,DG8 7DE,01625-932209,corrinne_jaret@gmail.com
40f123ea-4be2-40a5-b475-b233afb450c2,Niesha,Bruch,Rowley/hansell Petetin,24 Bolton St,"Broxburn, Uphall and Winchburg",West Lothian,EH52 5TL,01874-856950,niesha.bruch@yahoo.com
aac0f778-2831-4c29-afb0-9171f4b81d4f,Rueben,Gastellum,Industrial Engineering Assocs,4 Forrest St,Weston-Super-Mare,North Somerset,BS23 3HG,01976-755279,rueben_gastellum@gastellum.co.uk
74dca4c0-025c-4813-b8d4-9992cd5dc594,Michell,Throssell,Weiss Spirt & Guyer,89 Noon St,Carbrooke,Norfolk,IP25 6JQ,01967-580851,mthrossell@throssell.co.uk
e86424eb-f0ee-4639-a882-32ce1914fb1f,Edgar,Kanne,"Crowan, Kenneth W Esq",99 Guthrie St,New Milton,Hampshire,BH25 5DF,01326-532337,edgar.kanne@yahoo.com
0aa1c5f5-01a0-4e8c-b0b9-4e3dcfba7f28,Dewitt,Julio,Rittenhouse Motor Co,7 Richmond St,Parkham,Devon,EX39 5DJ,01253-528327,dewitt.julio@hotmail.com
08ee933f-2c17-411f-936a-eeb93e7b679b,Charisse,Spinello,Modern Plastics Corp,9165 Primrose St,Darnall Ward,"Yorkshire, South",S4 7WN,01719-831436,charisse_spinello@spinello.co.uk
ee44f0c1-aa1f-4c0a-afe1-6f0d9e172514,Mee,Lapinski,Galloway Electric Co Inc,9 Pengwern St,Marldon,Devon,TQ3 1SA,01578-287816,mee.lapinski@yahoo.com
93855f6c-fc99-4ffd-840d-446b3c0a1a20,Peter,Gutierres,Niagara Custombuilt Mfg Co,4410 Tarlton St,Prestatyn Community,Denbighshire,LL19 9EG,01842-767201,peter_gutierres@yahoo.com
e7586a0a-81e8-4631-a39a-2b135e61090b,Octavio,Salvadore,Practical Periphrals,6949 Bourne St,Lye and Stourbridge North Ward,West Midlands,DY5 2QP,01552-709248,octavio.salvadore@yahoo.com
45d7e10a-4508-41af-83d7-cd857bba431c,Martha,Teplica,"Curtin, Patricia M Esq",148 Rembrandt St,Warlingham,Surrey,CR6 9SW,01677-684257,mteplica@teplica.co.uk
4bafc638-cb63-4d15-bca2-daabf8a2ba2f,Tamesha,Veigel,"Wilhelm, James E Jr",2200 Nelson St #58,Newport,Isle of Wight,PO30 5AL,01217-342071,tveigel@veigel.co.uk
b027e1c6-90ea-476a-85a2-79740b42d33d,Tess,Sitra,Smart Signs,61 Rossett St,Chichester,West Sussex,PO19 1RH,01473-229124,tess_sitra@hotmail.com
3b6cd9b5-16a0-40df-858a-db879f3c3e1a,Leonard,Kufner,Arctic Star Distributing Inc,41 Canning St,Steornabhagh a Deas Ward,Western Isles,HS1 2PZ,01230-623547,lkufner@kufner.co.uk
e6d588ee-7e08-46be-a42b-54cc66ab756e,Svetlana,Tauras,"Lensbower, Gregory L Esq",8289 Cadogan St,South Ward,North Eart Lincolnshire,DN33 1AU,01781-827317,svetlana_tauras@tauras.co.uk
6b90f5a9-c145-4747-8659-a32aa41eaeb5,Pok,Molaison,Portal Metal Products,211 Hobart St,Newquay,Cornwall,TR7 1LS,01866-248660,pok@yahoo.com
d7225506-1c10-4f1d-a043-65e8f8f7a94d,Augustine,Growcock,"Lynema, Cliff Cpa",114 Falkland St #8845,Brimpton,Berkshire,RG7 4RF,01541-802635,augustine.growcock@growcock.co.uk
2368a2ba-25b6-4678-bc47-2c6b9e67bdf0,Karma,Quarto,J C S Machinery,1 Birkett St,Shard End Ward,West Midlands,B33 0NH,01857-864722,kquarto@gmail.com
f0b72b4a-1b00-4f66-a935-00223402551e,Reed,Weisinger,"Berick, Joseph G Esq",5147 Blackstone St,Letchworth South West Ward,Hertfordshire,SG6 3LE,01243-678286,reed_weisinger@yahoo.com
157dbb59-6e6a-4104-8ad6-db209adb22aa,German,Zelaya,Jackson & Heit Machine Co Inc,7 Shenstone St,Longhill Ward,"Yorkshire, East (North Humbers",HU8 9PZ,01400-269033,german@hotmail.com
e68123cd-99a9-4a5b-b79d-30d0d101a71b,Milly,Savidge,Bridgeway Plan For Health,129 Alexander Pope St,Franche Ward,Hereford and Worcester,DY11 9BW,01702-725589,milly@gmail.com
8b491ef8-48b4-4c34-b532-b5efb0076ced,Luis,Ear,Wa Inst For Plcy Studies,2 Birchfield Rd,Whittington,Shropshire,SY11 4PH,01462-648669,luis@hotmail.com
ccad8e2a-4c29-4434-a980-311bbb638e53,Ciara,Cobbley,Wmgl 101.7 Fm,7523 Kempton Rd,Cockerton West Ward,Darlington,DL3 0JF,01235-647932,ciara_cobbley@hotmail.com
3b801777-e516-4b65-bf8a-b07cf35da690,Alethea,Mould,"Hughlett, Henry T Jr",6305 Elstow St,Castle Ward,West Sussex,BN12 6PR,01662-114247,alethea@hotmail.com
f4934b1d-1fff-4339-99e5-401b88914ed0,Margurite,Loperfido,Penrose Place Pharmacy Inc,218 Greenbank Drive,Devizes,Wiltshire,SN10 3DU,01407-866759,mloperfido@gmail.com
66d148fe-f035-4eea-a376-04f3ec56fb68,Vernice,Sperazza,"Novak, Alan Paul Esq",8921 Forge St,Colnbrook with Poyle,Buckinghamshire,SL3 0PY,01822-563044,vernice@yahoo.com
af1e44cf-dc55-4110-8f86-38ebcefe18b5,Vicente,Rawicki,B & S Tool And Cutter Svc Inc,3060 St Ambrose Grove #261,Aldridge Central and South War,West Midlands,WS9 8UR,01327-770774,vicente_rawicki@hotmail.com
d48e2a7b-3cd3-488f-9370-dee69cd9048e,Craig,Cua,"Berry, John M Esq",8388 Bessemer St #5,East Putney Ward,Greater London,SW15 2RP,01483-418969,craig@hotmail.com
0a502ba6-79bb-409c-bc48-418c9729240c,Jenise,Dulle,"Alden, Michael H Esq",87 Pownall Sq,Sawston,Cambridgeshire,CB22 3BB,01709-854691,jenise.dulle@hotmail.com
